Ticker,close,ret_1w,ret_1m,ret_3m,ret_6m,vol_6m,ema_3,ema_5,ema_8,ema_15,ema_20,ema_21,signal_3_8,spread_3_8_pct,signal_5_15,spread_5_15_pct,signal_5_20,spread_5_20_pct,signal_8_21,spread_8_21_pct,bullish_count,bearish_count,neutral_count,bullish_ratio,bearish_ratio,neutral_ratio,ensemble_score,avg_ema_spread_pct,upside_strength_pct,downside_strength_pct,Signal
MCX.NS,2825.60009765625,0.021695110602161227,0.05756420569580056,0.16905258488053376,0.503378610085794,0.39964227724034934,2837.0091971156826,2820.8452993276546,2781.082320458764,2702.3287100927955,2664.100757123496,2657.652471959377,1,2.010975232394152,1,4.3857206857262465,1,5.883581609480881,1,4.6443186158341865,4,0,0,1.0,0.0,0.0,1.0,4.231149035858866,4.231149035858866,0.0,Upside
MUTHOOTFIN.NS,3610.199951171875,0.013446341320829447,0.05586102128127224,-0.08326353838190281,0.12177233169165658,0.40729752299178856,3580.711725411088,3566.1255884589846,3535.758534301611,3475.105589428487,3452.6139976381332,3449.879561521356,1,1.2713874738156106,1,2.619200962048085,1,3.28770001217924,1,2.4893324896937186,4,0,0,1.0,0.0,0.0,1.0,2.4169052344341635,2.4169052344341635,0.0,Upside
NBCC.NS,93.27999877929688,0.0522278304988677,0.12209794068280178,-0.11313939171613552,-0.15076472891261872,0.3920518894511707,93.18112339532576,92.5196462239432,91.30766862910446,89.33073790967678,88.7742883624492,88.7276650682575,1,2.051804404109081,1,3.5697771997481365,1,4.218966922271905,1,2.9077780406620457,4,0,0,1.0,0.0,0.0,1.0,3.187081641697792,3.187081641697792,0.0,Upside
NHPC.NS,82.62999725341797,0.06399682406573826,0.07465207306813926,0.016484147356159884,-0.031982232045368986,0.23046489109201493,82.55394780499032,81.86807416320467,80.84268497158823,79.26211951958554,78.59538880063243,78.49229362462502,1,2.1167812944405506,1,3.287768052903517,1,4.163966121312579,1,2.9944230680829964,4,0,0,1.0,0.0,0.0,1.0,3.1407346341849105,3.1407346341849105,0.0,Upside
NMDC.NS,88.47000122070312,0.030998761657032414,0.11676344206749545,0.05509842341503601,0.16209121710691465,0.3097011579966483,88.50877966358887,87.95307417916035,86.86059184884715,84.77053769413064,83.82970299258344,83.68254678134656,1,1.897509307339118,1,3.75429550360169,1,4.918747221306186,1,3.797739420866919,4,0,0,1.0,0.0,0.0,1.0,3.592072863278478,3.592072863278478,0.0,Upside
NTPC.NS,396.2000122070313,0.02576054940331729,0.033520297393790255,0.13491837696224884,0.17689000228240404,0.20280064336063555,395.42557355766263,393.1652789266527,389.7512752924977,384.77744447551925,382.7231192994531,382.3740641619264,1,1.4558767667678607,1,2.1799184363747504,1,2.728384855953614,1,1.9293178648872145,4,0,0,1.0,0.0,0.0,1.0,2.07337448099586,2.07337448099586,0.0,Upside
NATIONALUM.NS,422.9500122070313,0.01172114473661745,0.07035307763925047,0.13224474847803047,0.8889286081520116,0.4353344837022485,426.2480757134575,425.66592917735926,422.15095451567606,412.87621475758027,407.42383344711953,406.4442469906851,1,0.9705346284202943,1,3.0977116052297804,1,4.477424792726903,1,3.8644187096467775,4,0,0,1.0,0.0,0.0,1.0,3.1025224340059387,3.1025224340059387,0.0,Upside
NESTLEIND.NS,1379.9000244140625,0.12543842418284523,0.14334244887498016,0.055695849994628954,0.1738834746185134,0.21312218993970017,1328.5617563881765,1304.710579196204,1282.7816126619537,1257.3940999448164,1250.1935150079762,1249.3576418779874,1,3.568818205245594,1,3.763058793855012,1,4.360690047882709,1,2.6752924593893335,4,0,0,1.0,0.0,0.0,1.0,3.5919648765931624,3.5919648765931624,0.0,Upside
OBEROIRLTY.NS,1723.9000244140625,0.022964677405358236,0.18212985346469845,0.04580199193037049,0.0973265591432606,0.28340050947740475,1711.7380956229297,1701.704059270196,1680.199873970526,1632.2925770428371,1608.7492610540703,1605.0044043003081,1,1.877051780623873,1,4.252392200000621,1,5.778078689230948,1,4.685063135574308,4,0,0,1.0,0.0,0.0,1.0,4.148146451357437,4.148146451357437,0.0,Upside
ONGC.NS,283.1000061035156,-0.015475506445359444,0.06931069349769836,0.14047460284983293,0.15697414601972848,0.25539387856834067,283.526346213004,284.00998591060375,284.15332807425597,282.75596453699757,281.44571553907616,281.18306080979295,-1,-0.22064913527535257,1,0.44349952994258146,1,0.911106558014585,1,1.0563464441665893,3,1,0,0.75,0.25,0.0,0.75,0.5475758492121008,0.6027381330309389,0.05516228381883814,Upside
OIL.NS,465.1499938964844,-0.02514932443361484,-0.018153047184201854,0.01561134038533707,0.12327937009613166,0.3176580744888303,467.44602985037227,467.99189008744327,468.76177266385434,470.2202279654673,470.8872010866052,470.979044464617,-1,-0.28068475080743616,-1,-0.4738923903094383,-1,-0.6148629634614822,-1,-0.4707792898266061,0,4,0,0.0,1.0,0.0,-1.0,-0.4600548486012407,0.0,0.4600548486012407,Downside
PAYTM.NS,1166.800048828125,0.054305683841957775,0.14168302233671715,-0.11155105124063236,-0.06266066680498206,0.384469544639486,1160.90530769206,1151.4829421047014,1135.4427349073892,1107.896285008639,1098.1536340673235,1096.9699913240954,1,2.242523731216406,1,3.9341820787604176,1,4.85627023241344,1,3.5071828662200044,4,0,0,1.0,0.0,0.0,1.0,3.635039727152567,3.635039727152567,0.0,Upside
